Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2021-07-15,2887.134521484375,2913.1850723399903,2879.0670482525607,2909.354128396636,2232968
2021-07-16,2879.78857421875,2902.368655380736,2877.2646138771797,2896.193986336898,1256526
2021-07-19,2870.59423828125,2884.2954537928154,2862.84212183848,2866.4477164503674,1597058
2021-07-20,2889.7041015625,2897.996925890474,2844.9495224391003,2870.5944924411556,1811945
2021-07-22,2899.214111328125,2906.9660089483573,2875.462164978894,2875.462164978894,2859334
2021-07-23,2896.058837890625,2921.928936000391,2890.4699900186024,2911.5177372298162,1776193
2021-07-26,2882.267822265625,2906.335126590373,2876.228494224294,2884.47620534673,1259611
2021-07-27,2869.10693359375,2893.4898123186417,2849.4563980198473,2884.4758253643777,1121367
2021-07-28,2882.492431640625,2888.486644188102,2823.5408322939165,2873.658681516964,1660654
2021-07-29,2880.6904296875,2907.416817013932,2875.7327361143084,2884.7016104740133,1731997
2021-07-30,2855.135498046875,2905.6589432609762,2850.5384963477914,2901.6026487845766,2999943
2021-08-02,2901.963134765625,2906.920828039328,2854.7299268761117,2866.448110977592,2608669
2021-08-03,2961.004150390625,2965.601371242554,2901.556957190415,2910.6160570645,3804735
2021-08-04,2951.134521484375,2979.303233643025,2939.641686923646,2974.6160039534384,2929598
2021-08-05,2960.148193359375,2988.1366667858642,2940.8132354114273,2952.0807190720075,2534521
2021-08-06,2983.44921875,2996.2490352358986,2943.0665162590885,2949.8721199044717,2292362
2021-08-09,2995.077880859375,3007.9679282815687,2983.630159608029,2996.1595154534725,1510489
2021-08-10,3005.1728515625,3019.5952298682187,2988.6774324297567,2988.6774324297567,2040777
2021-08-11,3014.457275390625,3028.6994178572495,2999.0434907512745,3019.685431494579,1929707
2021-08-12,3021.263427734375,3035.9111582335718,2998.052408635647,2998.052408635647,1310205
2021-08-13,3121.904296875,3136.867603932473,3026.446258679103,3029.37580457358,4363584
2021-08-16,3130.5126953125,3149.8027602984,3097.6567554079897,3118.839625698136,2083489
2021-08-17,3202.715087890625,3209.700928672502,3121.5440809856573,3138.7608862946713,4336019
2021-08-18,3209.475341796875,3240.5284845124593,3187.8868858928017,3221.463989105066,2631309
2021-08-20,3208.529052734375,3222.5007342394692,3154.895823730949,3160.30421657163,2836148
2021-08-23,3278.747802734375,3310.837687020221,3210.692195500499,3227.007601288427,3744176
2021-08-24,3256.934326171875,3305.745206620104,3239.9879835422157,3296.415640365422,2511141
2021-08-25,3298.2177734375,3333.1469723226337,3251.390155978006,3254.0492380730734,2123263
2021-08-26,3309.800537109375,3323.9975650579686,3288.211864587099,3299.118875673226,1902533
2021-08-27,3353.338623046875,3361.7667897667725,3291.097212606248,3304.5279665598573,3944728
2021-08-30,3336.3466796875,3371.5463390046634,3323.99756289038,3348.6957964846206,2033114
2021-08-31,3413.100830078125,3429.0106480854056,3338.284743097018,3343.6480209814554,3207480
2021-09-01,3348.6513671875,3440.3686934206157,3341.4852908713506,3421.7097826133386,2643336
2021-09-02,3458.441162109375,3478.6324032100083,3355.0056702602706,3365.8224537216147,3403717
2021-09-03,3463.21875,3476.6043879996278,3429.4163004029124,3447.8498589029177,1746812
2021-09-06,3472.1875,3495.2633928039486,3437.9343522845274,3470.1142391509848,1723693
2021-09-07,3439.64697265625,3488.3676130245663,3432.751361106892,3483.004335145285,1585039
2021-09-08,3402.013916015625,3438.836142024946,3385.6536171548355,3434.329148391886,4147175
2021-09-09,3417.56298828125,3433.1572300107787,3393.766150314233,3416.0306544846244,1441148
2021-09-13,3466.19384765625,3472.54853292922,3395.569166011557,3395.569166011557,1691473
2021-09-14,3502.74560546875,3512.30052103942,3447.850505062436,3470.340361728902,1991188
2021-09-15,3564.626220703125,3587.5667732673196,3484.807322977753,3499.319929861653,2461369
2021-09-16,3518.4296875,3589.144373466537,3508.3340657930535,3542.4969894452165,2946666
2021-09-17,3450.4189453125,3556.0177102003627,3429.8218979245576,3533.4827437225404,6477148
2021-09-20,3446.498046875,3489.314486583791,3432.3912447665866,3433.427765279685,2002008
2021-09-21,3482.05859375,3489.810711776264,3444.8307777642813,3477.5967135199853,1568129
2021-09-22,3481.3369140625,3512.6156251226985,3472.5933906537475,3481.6524916358844,1744067
2021-09-23,3487.737060546875,3496.5256982260976,3456.8641538275547,3488.413109599123,2003869
2021-09-24,3489.584716796875,3555.476827563498,3474.8918744554794,3506.440827920056,2320754
2021-09-27,3458.62158203125,3519.060406854174,3427.9289133113457,3515.45481217502,1673362
2021-09-28,3406.52099609375,3470.385185522073,3381.3720590103053,3470.385185522073,2253075
2021-09-29,3418.01318359375,3430.7229915845237,3355.14063271014,3389.0784212494123,2489161
2021-09-30,3403.275634765625,3429.821780352912,3380.3350836911927,3429.821780352912,2252412
2021-10-01,3362.3974609375,3434.3291227987042,3357.710231607657,3408.8646089616796,1578374
